customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date
2,69,50200,252.2146926,Male,North,27,Toys,14.40203581,2022-03-14 00:00:00,2022-07-03 00:00:00
5,60,112300,1528.118235,Female,West,6,Clothing,28.89378506,2021-04-21 00:00:00,2021-06-02 00:00:00
6,25,62000,1024.0232,Male,West,5,Home & Garden,14.36027257,2021-11-18 00:00:00,2023-07-06 00:00:00
7,78,90500,1283.045712,Female,East,27,Home & Garden,48.22122818,2022-06-11 00:00:00,2023-02-01 00:00:00
8,38,81000,1970.645619,Male,East,8,Clothing,70.95280636,2021-06-26 00:00:00,2022-12-21 00:00:00
9,56,114300,1540.650762,Female,East,9,Clothing,61.24029081,2022-11-05 00:00:00,2023-05-30 00:00:00
10,75,83600,880.0357663,Female,West,15,Toys,95.11081821,2022-07-05 00:00:00,2022-11-13 00:00:00
11,36,56300,903.9550052,Male,North,36,Toys,81.7777884,2022-06-22 00:00:00,2023-02-08 00:00:00
14,28,109600,1011.407633,Female,East,32,Home & Garden,32.72751933,2022-07-17 00:00:00,2022-08-24 00:00:00
16,70,103600,66.59433894,Female,West,47,Health,43.905304,2021-04-08 00:00:00,2023-05-21 00:00:00
19,41,114500,275.7654016,Female,East,19,Toys,52.78742079,2021-06-19 00:00:00,2021-12-22 00:00:00
20,20,64900,217.1020954,Male,North,39,Health,59.42535672,2021-02-25 00:00:00,2022-07-25 00:00:00
21,39,30200,1214.320488,Female,West,6,Toys,56.87856827,2021-11-21 00:00:00,2022-07-27 00:00:00
22,70,68400,1056.729083,Male,South,19,Health,11.65483634,2022-10-20 00:00:00,2023-03-28 00:00:00
23,19,29900,522.0965517,Female,West,28,Health,56.99873195,2021-09-17 00:00:00,2023-12-30 00:00:00
25,61,84100,994.6199841,Female,North,42,Electronics,66.37141655,2022-07-16 00:00:00,2023-02-22 00:00:00
26,47,78000,406.1177813,Female,East,19,Clothing,42.93839967,2021-12-06 00:00:00,2023-06-28 00:00:00
27,55,48200,1311.144263,Female,East,31,Clothing,84.87885877,2022-02-08 00:00:00,2023-08-02 00:00:00
28,19,112700,1566.220326,Female,East,11,Home & Garden,77.82657448,2022-06-16 00:00:00,2023-06-15 00:00:00
29,77,50000,1587.097811,Male,South,15,Home & Garden,72.43820515,2021-06-23 00:00:00,2023-07-19 00:00:00
30,38,96300,1212.890265,Male,East,10,Clothing,70.07370993,2022-06-22 00:00:00,2022-09-29 00:00:00
32,29,67300,140.7941432,Male,West,23,Electronics,6.111357613,2021-01-10 00:00:00,2022-06-15 00:00:00
37,42,43900,320.5153115,Female,West,43,Clothing,92.90709148,2022-12-15 00:00:00,2023-12-04 00:00:00
38,66,37700,1781.361704,Male,North,20,Electronics,24.9451267,2021-12-10 00:00:00,2022-06-08 00:00:00
40,76,55200,1536.341498,Male,West,22,Electronics,96.30407827,2022-01-08 00:00:00,2022-01-30 00:00:00
42,45,116800,22.66561649,Male,South,39,Toys,1.408641216,2021-02-15 00:00:00,2023-08-12 00:00:00
43,77,111100,768.6395242,Male,South,10,Toys,90.61075999,2022-12-30 00:00:00,2023-02-02 00:00:00
44,33,97400,303.9228326,Male,South,21,Clothing,22.66472988,2021-02-24 00:00:00,2022-03-19 00:00:00
45,32,71000,56.40456146,Female,West,29,Health,70.59325392,2021-03-19 00:00:00,2023-08-25 00:00:00
46,79,117700,938.852045,Male,North,32,Home & Garden,55.30731074,2022-05-06 00:00:00,2023-06-11 00:00:00
51,61,98100,517.1386053,Male,South,23,Health,65.19126067,2021-04-21 00:00:00,2023-09-07 00:00:00
52,72,81600,1307.841993,Male,North,31,Health,29.05792289,2021-01-15 00:00:00,2022-04-07 00:00:00
53,69,106300,440.4212691,Female,West,4,Toys,97.39502077,2021-03-19 00:00:00,2022-12-10 00:00:00
57,68,55000,1993.880253,Male,West,2,Clothing,30.61592925,2021-10-02 00:00:00,2022-07-05 00:00:00
58,24,105700,383.2357543,Male,West,4,Electronics,14.85874276,2022-05-09 00:00:00,2023-07-25 00:00:00
60,26,26000,834.5216514,Male,East,15,Health,96.42222781,2022-01-11 00:00:00,2023-09-05 00:00:00
61,56,107600,270.2451164,Male,West,33,Clothing,41.14305764,2021-03-04 00:00:00,2022-10-23 00:00:00
62,35,37200,75.130937,Female,South,6,Electronics,34.73337657,2021-12-27 00:00:00,2023-06-22 00:00:00
66,31,89600,975.7726767,Female,South,1,Electronics,84.96746181,2021-07-13 00:00:00,2023-02-09 00:00:00
70,43,115500,995.3460303,Female,North,26,Toys,96.63334338,2021-10-28 00:00:00,2023-02-07 00:00:00
71,70,77900,1274.155246,Male,West,44,Clothing,15.65813762,2022-07-22 00:00:00,2022-10-05 00:00:00
72,19,37000,1614.941309,Female,South,12,Home & Garden,18.63096175,2022-11-03 00:00:00,2023-11-11 00:00:00
73,37,65900,807.8106676,Male,North,22,Home & Garden,92.68163539,2022-05-11 00:00:00,2022-08-13 00:00:00
74,45,78300,1615.838224,Female,West,13,Home & Garden,70.56876465,2021-05-29 00:00:00,2021-12-28 00:00:00
78,61,42200,738.2521288,Male,West,30,Health,43.26715339,2021-12-01 00:00:00,2023-12-11 00:00:00
79,78,90200,1102.45873,Male,West,44,Home & Garden,77.79014945,2022-11-30 00:00:00,2023-04-22 00:00:00
80,25,58800,1682.844297,Male,South,20,Clothing,55.39720546,2021-07-03 00:00:00,2023-02-24 00:00:00
82,52,75500,1604.408568,Female,West,27,Electronics,32.68201322,2021-09-19 00:00:00,2022-05-07 00:00:00
83,31,69200,1728.757911,Female,South,38,Health,16.13959177,2021-11-06 00:00:00,2023-09-12 00:00:00
84,34,97500,318.3612243,Female,North,42,Health,1.311667577,2021-12-10 00:00:00,2022-07-27 00:00:00
85,53,113000,1706.156752,Female,North,41,Clothing,82.13123443,2022-02-28 00:00:00,2023-05-09 00:00:00
86,67,97900,1983.078064,Female,South,34,Health,63.66545593,2022-10-19 00:00:00,2023-09-20 00:00:00
87,57,22500,1459.140885,Male,East,39,Health,22.93212413,2022-05-29 00:00:00,2023-08-19 00:00:00
90,79,97000,1218.852876,Male,North,37,Health,53.87001861,2021-12-28 00:00:00,2023-08-28 00:00:00
91,23,113500,629.6150364,Male,West,1,Clothing,30.01598764,2021-06-18 00:00:00,2023-12-08 00:00:00
92,71,85000,1678.311051,Male,East,15,Home & Garden,26.71845172,2022-10-22 00:00:00,2023-01-07 00:00:00
95,71,81400,522.1983999,Female,North,33,Electronics,58.18603507,2021-11-08 00:00:00,2023-10-04 00:00:00
100,51,57700,272.9938125,Female,West,33,Home & Garden,18.09024875,2021-12-17 00:00:00,2022-08-21 00:00:00
101,27,70500,895.8857355,Female,West,5,Clothing,46.19983428,2021-01-28 00:00:00,2021-06-06 00:00:00
102,79,64000,104.0904203,Male,West,18,Electronics,3.507127948,2022-09-24 00:00:00,2022-10-18 00:00:00
103,53,76900,1375.559865,Male,North,48,Toys,79.17178816,2021-05-13 00:00:00,2023-09-30 00:00:00
104,31,48100,1807.356911,Female,West,10,Clothing,88.37599988,2022-01-15 00:00:00,2023-03-09 00:00:00
106,65,99800,272.1915574,Male,East,33,Health,26.79950246,2022-06-12 00:00:00,2023-04-15 00:00:00
107,32,118700,270.0168515,Male,North,23,Home & Garden,12.3155474,2021-10-14 00:00:00,2023-08-10 00:00:00
108,25,44000,1630.600275,Male,East,40,Home & Garden,38.21441879,2021-10-11 00:00:00,2021-12-23 00:00:00
109,31,75600,1850.023464,Male,East,5,Health,83.33356205,2022-10-11 00:00:00,2022-12-18 00:00:00
110,40,102600,932.1262631,Female,West,34,Toys,34.78278038,2021-08-15 00:00:00,2021-12-28 00:00:00
112,74,34600,650.1588419,Female,North,17,Electronics,27.42803762,2021-01-27 00:00:00,2022-04-17 00:00:00
115,38,78100,590.7381228,Male,West,17,Clothing,90.085483,2021-03-30 00:00:00,2022-11-05 00:00:00
117,62,78800,1784.576145,Female,South,38,Clothing,53.97055153,2021-05-02 00:00:00,2022-04-19 00:00:00
118,35,63600,46.99536733,Female,West,22,Home & Garden,14.86888724,2021-02-02 00:00:00,2022-09-06 00:00:00
119,64,43400,658.998614,Female,South,15,Clothing,34.86444784,2022-08-26 00:00:00,2022-11-20 00:00:00
